ID	ParentValues	ChildValues
767	v6142 == 1	0
777	v6142 == 1	0
796	v6142 == 1 || v777 == 0	0
806	v6142 == 1	0
816	v6142 == 1	0
826	v6142 == 1	0
874	v864 >= 1	0
894	v884 >= 1	0
914	v904 >= 1	0
924	v864 >= 1	0
943	v864 >= 1	0
971	v6164 == 1	0
981	v6164== 1	0
991	v6164== 3	0
1001	v6164 == 3	0
1011	v6164 == 4	0
1021	v6164 == 4	0
1120	v1110==-1 || v1110==0	0
1130	v1110==-1 || v1110==0	0
1249	v1239 != 1	0
1259	v1239 != 1	0
1269	v1239 != 1	0
1279	v1239 != 1	0
1448	v1438 == -10	0
1468	v1458 == -10	0
1508	v1498 == -10	0
2654	v1428 == 3	0
2664	v1558 >= 1 && v1558 <= 5 && v1568 == 3	0
2867	v1249 == 1	0
2877	v1249 == 1	0
2887	v1249 == 1 && v2877 >= 1 && v2877 <= 2	0
2897	v1249 == 1	0
2907	v1249 == 1	0
2926	v1249 == 1 && v2907 == 1	0
2936	v1249 == 1 && v2907 == 1	0
4825	v2247 == 99	0
4836	v2247 == 99	0
6147	v1249 == 1 && v2907 == 1	0
20084	v104670 == 1	0
20087	v101300 == 1	0
20088	v103310 == 1	0
20091	v100950 > 0	0
20098	v101310 > 0	0
20106	v102090 > 0	0
20230	v20229 > 0	0
20247	v20147 > 0	0
20248	v20148 > 0	0
22507	v22506 == 113	0
100250	v100240 == 0	0
100260	v100250 != na	0
100270	v100240 == 0	0
100280	v100270 != na	0
100290	v100240 == 0	0
100300	v100240 == 0	0
100310	v100240 == 0	0
100320	v100310 != na	0
100330	v100240 == 0	0
100350	v100330 != na	0
100360	v100240 == 0	0
100370	v100240 == 0	0
100380	v100240 == 0	0
100400	v100390 == 0	0
100410	v100390 == 0	0
100420	v100390 == 0	0
100430	v100390 == 0	0
100440	v100390 == 0	0
100460	v100400 != na	0
100480	v100410 != na	0
100490	v100390 == 0	0
100500	v100390 == 0	0
100950	v100940 == 1	0
101300	v1438 == -10	0
101310	v101300 == 1	0
102090	v102080 == 1	0
102820	v102800 == 1	0
104030	v103990 == 1	0
104090	v103990 == 1	0
104170	v103990 == 1	0
104260	v103990 == 1	0
104340	v103990 == 1	0
104450	v104400 == 1	0
104460	v104400 == 1	0
